job_id,resource_id,score
656,890,0.27231812
656,630,0.31704473
656,563,0.3202592
656,586,0.2440041
656,698,0.25592172
656,786,0.37508905
656,820,0.37695408
656,309,0.42817187
656,691,0.37053463
656,772,0.29790992
656,849,0.47976214
656,776,0.4010788
656,671,0.16031566
656,342,0.46156216
656,504,0.40530157
656,391,0.27670023
656,92,0.1412844
656,581,0.28545493
656,49,0.24977098
656,557,0.39422515
656,162,0.32456455
656,848,0.27004057
656,288,0.20015866
656,778,0.31170797
656,902,0.62261534
656,963,0.2946592
656,642,0.3593259
656,193,0.33562464
656,354,0.3023227
656,423,0.37955078
656,940,0.30570847
656,89,0.37183413
656,894,-0.07771382
656,606,0.23114467
656,395,0.23467922
656,674,0.25441417
656,53,0.27001488
656,668,0.10051067
656,822,0.24454714
656,450,0.22341986
595,175,0.25750214
595,1,0.45561844
595,95,0.32051137
595,400,0.43750283
595,379,0.4949128
595,156,0.17188944
595,436,0.46698833
595,624,0.39448243
595,621,0.42119426
595,460,0.4755726
595,886,0.52632487
595,108,0.24430025
595,591,0.25337905
595,298,0.35961008
595,459,0.47305527
595,739,0.35035747
595,704,0.1227365
595,647,0.28263688
595,855,0.41287392
595,143,0.4805978
595,178,0.28812987
595,819,0.47327554
595,571,0.48192257
595,352,0.25882262
595,857,0.4763691
595,330,0.45720914
595,428,0.38505834
595,895,0.52928376
595,927,0.41672862
595,889,0.4024651
595,790,0.27789098
595,685,0.39759976
595,769,0.4646757
595,380,0.24217512
595,526,0.30778906
595,318,0.36497867
595,348,0.4455285
595,80,0.49577552
595,856,0.374477
595,680,0.33637023
595,729,0.46795517
595,195,0.42341495
595,900,0.4169048
595,774,0.49772096
595,938,0.42996693
595,638,0.38583538
595,650,0.18649587
595,749,0.28968543
595,140,0.34126684
595,579,0.35289
595,236,0.299762
595,793,0.44330126
595,626,0.44447398
595,785,0.44668502
595,6,0.4110059
595,340,0.4124345
595,492,0.5108059
595,802,0.50468457
595,847,0.36197942
595,443,0.43430713
595,890,0.36867106
595,630,0.5020628
595,563,0.47310245
595,586,0.42287457
595,698,0.52017224
595,786,0.4630195
595,820,0.26766488
595,309,0.30991244
595,691,0.39207566
595,772,0.29708052
595,849,0.30621764
595,776,0.2857845
595,671,0.27976888
595,342,0.4554365
595,504,0.28135684
595,391,0.4347317
595,92,0.3046221
595,581,0.53429174
595,49,0.33248073
595,557,0.51420325
595,162,0.32840165
595,848,0.36559558
595,288,0.31653607
595,778,0.32761246
595,902,0.33527136
595,963,0.5032586
595,642,0.5062589
595,193,0.41186446
595,354,0.5512024
595,423,0.45166826
595,940,0.4373477
595,89,0.37572694
595,894,0.14205983
595,606,0.49182388
595,395,0.35443252
595,674,0.33955526
595,53,0.50482696
595,668,0.27922627
595,822,0.39359182
595,450,0.41081366
711,175,0.25016972
711,1,0.39110458
711,95,0.41138935
711,400,0.4153672
711,379,0.51880884
711,156,0.16964205
711,436,0.41350073
711,624,0.42203176
711,621,0.28569275
711,460,0.35218993
711,886,0.4961865
711,108,0.28491974
711,591,0.29118586
711,298,0.3684021
711,459,0.55034995
711,739,0.3001994
711,704,0.12278403
711,647,0.42273575
711,855,0.46985728
711,143,0.5312153
711,178,0.24967913
711,819,0.371248
711,571,0.447382
711,352,0.22400641
711,857,0.49041474
711,330,0.491636
711,428,0.47802544
711,895,0.5077572
711,927,0.44255817
711,889,0.5466026
711,790,0.254494
711,685,0.4098653
711,769,0.43687546
711,380,0.29483262
711,526,0.3727006
711,318,0.32389066
711,348,0.3966198
711,80,0.46479738
711,856,0.39553308
711,680,0.40871096
711,729,0.51184356
711,195,0.40745693
711,900,0.38485634
711,774,0.4255346
711,938,0.29089907
711,638,0.3704876
711,650,0.24138553
711,749,0.43858746
711,140,0.2589159
711,579,0.4214486
711,236,0.3130088
711,793,0.48548195
711,626,0.4144032
711,785,0.5031155
711,6,0.49791598
711,340,0.41269076
711,492,0.50343865
711,802,0.5785222
711,847,0.395212
711,443,0.44154763
711,890,0.38724303
711,630,0.5553127
711,563,0.3460703
711,586,0.5026331
711,698,0.59911287
711,786,0.5071792
711,820,0.3742854
711,309,0.35417068
711,691,0.30379713
711,772,0.4134211
711,849,0.4221574
711,776,0.3178952
711,671,0.33342713
711,342,0.49835837
711,504,0.4978111
711,391,0.35760847
711,92,0.29607448
711,581,0.50480163
711,49,0.2566082
711,557,0.47206813
711,162,0.37131655
711,848,0.36247253
711,288,0.33380488
711,778,0.29460835
711,902,0.396392
711,963,0.4167478
711,642,0.46665195
711,193,0.38067633
711,354,0.46800178
711,423,0.39350483
711,940,0.53862226
711,89,0.40972587
711,894,0.1977123
711,606,0.42374328
711,395,0.3541207
711,674,0.43191192
711,53,0.44941074
711,668,0.24819914
711,822,0.5067634
711,450,0.35508627
22,175,0.3352279
22,1,0.29096332
22,95,0.3034985
22,400,0.37435406
22,379,0.47626045
22,156,0.21792457
22,436,0.29400256
22,624,0.3935063
22,621,0.20834103
22,460,0.34966028
22,886,0.3577421
22,108,0.41300467
22,591,0.555031
22,298,0.22580525
22,459,0.3533347
22,739,0.22665387
22,704,0.09894137
22,647,0.2748317
22,855,0.4619904
22,143,0.37371796
22,178,0.21716034
22,819,0.2842759
22,571,0.37701213
22,352,0.19361314
22,857,0.39752293
22,330,0.35245222
22,428,0.28338927
22,895,0.34442717
22,927,0.28790906
22,889,0.454379
22,790,0.29054573
22,685,0.36762655
22,769,0.35092083
22,380,0.25998145
